Feature,Outlier Count,Outlier Percentage
PreviousLoanDefaults,2001,10.01
SavingsAccountBalance,1592,7.96
NetWorth,1564,7.82
TotalLiabilities,1533,7.66
CheckingAccountBalance,1522,7.61
TotalAssets,1442,7.21
TotalDebtToIncomeRatio,1152,5.76
MonthlyLoanPayment,1089,5.45
BankruptcyHistory,1048,5.24
AnnualIncome,947,4.74
MonthlyIncome,925,4.62
LoanAmount,746,3.73
MonthlyDebtPayments,744,3.72
UtilityBillsPaymentHistory,294,1.47
JobTenure,251,1.26
NumberOfOpenCreditLines,249,1.24
CreditScore,242,1.21
PaymentHistory,241,1.21
InterestRate,222,1.11
BaseInterestRate,219,1.09
DebtToIncomeRatio,143,0.71
CreditCardUtilizationRate,130,0.65
Experience,75,0.38
Age,64,0.32
NumberOfCreditInquiries,16,0.08
NumberOfDependents,0,0.0
LoanDuration,0,0.0
LengthOfCreditHistory,0,0.0
