Feature,Importance
numerical__LoanToIncomeRatio,0.265423908128183
numerical__AnnualIncome,0.15935819282677968
numerical__MonthlyIncome_Calculated,0.15585277500839265
numerical__DebtToIncome_Calculated,0.09638930562842223
numerical__LoanAmount,0.0675270798685276
numerical__CreditScore,0.029696352122020712
numerical__MonthlyDebtPayments,0.02801109039232942
numerical__SavingsToLoanRatio,0.02666874876600985
numerical__LoanDuration,0.02655514173600426
numerical__ExperienceToAgeRatio,0.024057959808952985
numerical__SavingsAccountBalance,0.023773985410231704
numerical__Age,0.021324026165005044
numerical__Experience,0.020452860177566784
categorical__EducationLevel_High School,0.010103640973081127
categorical__EducationLevel_Master,0.005021314685625367
categorical__EducationLevel_Doctorate,0.003932915323695494
categorical__HomeOwnershipStatus_Mortgage,0.003818004545967297
categorical__HomeOwnershipStatus_Rent,0.003443782931291643
categorical__LoanPurpose_Home,0.0033564822616443894
categorical__EducationLevel_Associate,0.0030457653297615876
categorical__EducationLevel_Bachelor,0.0029018835522541275
categorical__LoanPurpose_Debt Consolidation,0.002843543114748436
categorical__HomeOwnershipStatus_Own,0.0025536051341525164
categorical__LoanPurpose_Auto,0.0024785819924365415
categorical__LoanPurpose_Education,0.0023028949391706525
categorical__EmploymentStatus_Unemployed,0.002250416739086317
categorical__EmploymentStatus_Employed,0.0019967786967139685
categorical__HomeOwnershipStatus_Other,0.0017722834186808436
categorical__LoanPurpose_Other,0.0017476525281411657
categorical__EmploymentStatus_Self-Employed,0.0013390277951225717
